,0,ladder,CD4T,hESC-H9,HEK293T,RNH2-KO-T3-8,RNH2-KO-T3-17
64,34479.80985282266,630174.0016395553,6273691.579715166,7302066.9365767315,7215581.397673292,4795153.344619494,4673608.77861507
65,34423.262664257214,639503.6605159409,6365276.231148227,7496564.015736461,7246481.006539434,4785140.15784904,4708364.172850812
66,34366.80653315472,711173.0227788634,6529653.0464850925,7628768.4746436905,7229034.649406628,4711548.284443484,4766953.583838839
67,34310.441312886105,1099302.4626262598,6568411.439712418,7623466.404747993,7232090.890239508,4619752.912622406,4970048.152433466
68,34254.166857058415,1497040.7108898144,6478378.512399196,7627654.121717987,7339675.0141306445,4640417.755889619,5166994.4689024445
69,34197.98301951444,1524547.5285132604,6453228.093479262,7641378.472594999,7440219.619136823,4724984.982002605,5333911.267743834
70,34141.88965433231,1451786.835018335,6618764.643420707,7561929.861578221,7422899.637381738,4793419.939231108,5468942.668561534
71,34085.886615825155,1584008.9138909953,6787393.148765087,7418769.145953396,7378869.848145442,4860424.773043458,5440327.300051893
72,34029.97375854068,1913834.408697807,6884617.325898229,7378212.491064001,7336157.7538509825,4797668.027778376,5296903.640416785
73,33974.15093726081,2017828.4246872459,6862473.397606638,7451573.523443244,7358603.182326661,4711621.834571742,5051824.014494276
74,33918.41800700134,1701262.8276190502,6773216.4628593465,7572062.028164488,7462883.885793614,4767230.797015423,4958788.433229408
75,33862.7748230115,1059028.8324474224,6602314.862331475,7621849.886204672,7439401.99402785,5071005.193048223,4951453.189666815
76,33807.22124077363,423125.245036387,6395919.3026692225,7598174.291078677,7460577.664870062,5385701.413682422,4906169.931434283
77,33751.75711600279,0.0,6307990.788095283,7571983.372087422,7586402.0203718925,5737910.734882878,4966013.670578832
78,33696.38230464636,0.0,6332628.148699926,7577162.910943183,7536006.683740351,6086278.989249418,5017396.669520032
79,33641.096662883705,0.0,6276760.186463705,7569000.461948606,7435952.528238264,6092952.764337178,4947714.565527315
80,33585.900047125775,192128.6518530077,6263646.092680023,7701687.476101929,7407628.6245194925,5984614.13318488,4893401.273031283
81,33530.79231401474,575630.1958278238,6448647.466439285,7846956.769453326,7516066.443276231,5607086.346220946,4880594.485898503
82,33475.77332042362,823924.0793963555,6515400.985170225,7825732.25584998,7715236.341226944,5271784.498844335,4942564.599879836
83,33420.84292345592,714215.9843235834,6558811.517045437,7789769.699412912,7854678.462005185,5166538.095815424,5036101.979849176
84,33366.000980445235,612702.3576436375,6538146.525837946,7910164.680893763,7852473.340016581,5126370.484630692,5107235.692634274
85,33311.2473489549,557995.608100107,6508209.572422927,8018688.41121248,7803305.247676654,5075973.082663101,5161101.161932842
86,33256.58188677762,588961.8885859108,6622755.649089225,7996296.224212007,7779735.496905869,5048964.527714606,5159074.224668876
87,33202.00445193508,701724.343157897,6713960.538549874,7977495.164814647,7736320.433226054,5030284.743347013,5079823.311410769
88,33147.514902677605,638275.1271973931,6727635.003292385,7977071.407412832,7703392.559660584,5062199.444664502,5147929.197280149
89,33093.11309748379,505592.566252696,6722842.237110752,8013606.429292614,7702340.096676878,5128040.791810999,5110621.446107136
90,33038.79889506008,493460.6712875994,6748449.46147744,8084813.068674705,7733320.544229326,5197474.264241157,5090810.335472169
91,32984.572154340494,628443.8099980357,6754242.434555631,8129023.707847442,7788846.811671067,5338409.8635230465,5056790.979863365
92,32930.43273448617,789880.9259507742,6716227.286385548,8154776.269821313,7797057.486295171,5483195.312676923,5086333.795432687
93,32876.38049488506,1134226.6993136846,6658123.179603771,8217817.073547816,7727037.673487541,5626739.785444425,5193928.636390675
94,32822.41529515153,1644984.0071739173,6669070.178598415,8284772.182239869,7667522.981262643,5963486.421308697,5314288.235404401
95,32768.536995126015,2113851.292813219,6748075.26489662,8303373.757106853,7709372.965983292,6371374.3966550315,5388806.053924373
96,32714.745454874635,2313699.0571874874,6757834.54737342,8197317.739915627,7760590.050220108,6710423.827830528,5470677.878830438
97,32661.04053468887,2260680.51603702,6759577.006364376,8089641.904861283,7733202.461314435,6716315.4553594105,5650907.595637543
98,32607.42209508514,2172455.9856038955,6825661.092759451,8107948.50165601,7716531.182664238,6505872.767831235,5731664.651797098
99,32553.889996804504,1939217.574384649,6835542.401576897,8175165.898413651,7698235.312142129,6043633.018659356,5698140.427610913
100,32500.44410081225,1476791.232731904,6881756.281247974,8172292.213661233,7707791.203029355,5624643.416803583,5660905.734880984
101,32447.084268297553,995239.5257643902,6889031.468136316,8175673.665043359,7793521.356790407,5459624.223083743,5663033.393697755
102,32393.810360673113,882292.7883996079,6863923.238824755,8185341.171441135,7865500.869194906,5516994.618054301,5674145.056022299
103,32340.62223957481,985272.8382470822,6936041.2262669625,8145824.458413148,7864401.43069555,5565883.656954538,5692483.693145346
104,32287.519766861322,986893.2917345644,7016502.156307673,8169329.4328537015,7913262.588663262,5703350.98542408,5644107.5928108
105,32234.50280461377,957514.6015700129,7060591.550919127,8206811.1202188255,7991991.063849013,5724889.145720955,5606401.01366728
106,32181.57121513537,1105481.5166247038,7122467.161864438,8222844.769730597,8027076.5941973785,5716908.610793691,5510626.951282481
107,32128.72486095106,1182837.959598209,7335563.095133123,8150029.529081075,8016733.477089615,5687976.238777505,5557769.095868285
108,32075.963604807177,1251544.5000623113,7688358.842999148,8220666.425412967,8045643.4381701695,5725258.691216842,5739452.351085806
109,32023.28730967105,1552292.4553963942,8065503.507469693,8304253.014372027,8128174.602419933,5799362.384685926,5783458.4268193515
110,31970.695838730684,1541449.8152128723,8555995.860696433,8213282.374620702,8165208.064590892,5821160.300704369,5741950.4152416615
111,31918.189055394392,1083294.6236194675,9020687.467555478,8129658.925223334,8150198.232289596,5799163.8729180815,5786075.019697054
112,31865.766823290436,861072.4638225661,9318140.536293888,8228805.7258012295,8150944.426120324,5958041.612831014,5859580.85212076
113,31813.429006266666,817614.4952859973,9466764.326295968,8174381.636608293,8189718.923749141,6143823.76294948,5900351.353859296
114,31761.175468390207,558258.9834809279,9586947.468314389,8146729.156813968,8281000.723216388,6347828.382394132,5873374.107605811
115,31709.00607394704,428612.6759975355,9540679.34623233,8144694.37427295,8213507.940564408,6464208.068504022,5794849.618148931
116,31656.9206874417,717934.9353026478,9325756.493627567,8163249.448317263,8126653.301198564,6435936.613092881,5785981.267904054
117,31604.91917359692,1017242.2596002393,8955179.141078783,8245091.010422489,8183110.382391896,6407554.969540772,5909785.538580885
118,31553.001397353255,1177273.3345178755,8189873.401364562,8263829.1246088585,8225346.122594658,6426969.693834249,6037674.52714296
119,31501.16722386875,1328764.4840633043,7841137.090412388,8199726.562093092,8291714.532862696,6471312.767187076,6116035.843990009
120,31449.41651851858,1503448.0545992288,7892961.840142267,8174305.247419356,8331017.302264882,6635056.226772407,6092756.5635279
121,31397.74914689471,1496828.3596764023,7720766.637038077,8257917.410797831,8434679.4012712,6758310.088036871,6110204.482230333
122,31346.164974805542,1526617.6765626709,7631662.728456692,8409456.429653166,8474302.84625636,6817654.72069162,5969720.296438302
123,31294.663868275566,1296475.9774870262,7651206.752915771,8496294.673506552,8467298.18445239,6848553.143656286,5994437.114555998
124,31243.245693545003,1088419.4770604135,7659600.897613566,8473717.803188266,8508675.265212452,6892078.603809553,6129232.745604426
125,31191.910317069476,1378553.6921720677,7729670.418874177,8457583.29970348,8726408.142416542,6955472.700923529,6157997.1945853755
126,31140.657605519656,1834678.6054026396,7799950.254434093,8516043.149849797,8891389.630697997,7010068.065670521,6201806.256924336
127,31089.4874257809,1897393.6496265626,7791695.729593711,8598291.783015173,8917379.55282744,7072027.807720575,6183905.996455106
128,31038.399644952926,1794727.9903080794,7686208.304698056,8691303.08427129,9036050.538856994,7071041.824605564,6034544.6576137
129,30987.39413034946,1788467.9703646444,7628320.023045988,8756951.704764739,9091613.237288827,7023059.252636102,6117798.656007115
130,30936.470749497897,2040603.665090418,7729903.226980044,8797739.109429311,9175049.121575642,7021951.834022344,6254038.145939756
131,30885.629370138944,2312053.735727367,7717149.54091612,8723726.540592588,9229342.74685247,7022634.79034746,6343554.366929923
132,30834.869860226278,2403827.259081309,7789399.866157912,8621664.138686497,9347580.024861507,6959753.564880272,6346439.641108158
133,30784.192087926225,2375322.0788282556,7965535.567170028,8643808.366460895,9536629.618373182,6958480.419946673,6343640.258671607
134,30733.59592161739,2142331.203254748,7994296.005308555,8676621.412595754,9627816.142332502,7101093.689704214,6363561.445255456
135,30683.081229890337,1685233.8267517902,8091519.868406467,8632406.504189055,9622298.49745794,7245982.694236486,6377835.35959601
136,30632.647881547222,1599460.1789675092,8089143.198844124,8695892.62482356,9667776.126855057,7243291.32589164,6456800.570650391
137,30582.29574560148,1742136.7530945586,7995250.202733845,8814255.463887002,9825518.822978484,7160023.42035187,6532199.007169292
138,30532.024691277475,1688895.6940785665,7932526.975838776,8807390.347716587,9924288.848093929,7036121.549704127,6510517.141401017
139,30481.834588010144,1752561.9274378484,8053153.027757985,8815200.659764307,9965448.246654391,7055053.64906914,6536526.758351965
140,30431.725305444685,1656932.4810413304,8154043.457754604,8837758.986747706,10018317.865256878,7090586.74460282,6621949.784674791
141,30381.6967134362,1467004.9065633928,8027894.942078696,8884537.22857975,10043114.8115797,7059879.7272055475,6602173.805423855
142,30331.748682049365,1568260.614039999,7918604.81503947,9009452.30416272,10102884.620879892,7041973.119585939,6568870.443862742
143,30281.881081558076,1471840.4721388125,7979285.992089322,9060661.9432262,10209458.351648757,7088697.040243479,6677803.213742285
144,30232.093782445154,1356209.8714946997,8118232.344409639,9121461.89970172,10232944.588964958,7104074.665433531,6763953.356377036
145,30182.38665540195,1268574.235899165,8138844.319682296,9233798.503718955,10281545.780195616,7165856.656969217,6877391.913532252
146,30132.75957132806,1427009.1337539246,8253805.298139444,9284205.327064853,10393881.72923513,7255692.632067075,6871318.471401814
147,30083.212401330966,1619181.3920358813,8358950.9396150485,9258815.051682305,10531707.74571758,7306724.139263128,6851651.01582588
148,30033.745016725687,1897543.4755237205,8305761.339504415,9309380.159639234,10641412.900913889,7339263.655442059,6862936.097183274
149,29984.35728903449,2138728.6888665594,8234878.423100284,9489336.391686233,10675760.715132035,7353219.429592959,6977214.835626428
150,29935.049089986514,2294860.7374685844,8248442.690965738,9638517.287321841,10641117.12899003,7299873.476793373,7140504.786953773
151,29885.820291517444,2269979.541439915,8278120.546090617,9689884.216657383,10550641.481291983,7201372.836070326,7078192.501329612
152,29836.670765769206,2201947.4183927113,8403112.763282076,9802921.095154516,10475052.565452868,7138179.777573891,7177716.413325386
